unique_work_number,progress_date,physical_progress,financial_progress,work_status
MPLADS/MA/2025-2026/0125,2025-03-23,100,100.0,Completed
MPLADS/KA/2025-2026/0126,2025-10-14,89,79.27,Ongoing
MPLADS/MA/2025-2026/0127,2025-08-16,81,73.47,Ongoing
MPLADS/MA/2024-2025/0128,2024-07-06,23,25.98,Ongoing
MPLADS/UT/2024-2025/0129,2024-03-28,100,100.0,Completed
MPLADS/KA/2025-2026/0130,2025-09-04,31,25.86,Ongoing
MPLADS/MA/2024-2025/0131,2024-07-22,68,80.29,Ongoing
MPLADS/MA/2024-2025/0132,2025-02-20,17,16.27,Delayed
MPLADS/MA/2025-2026/0133,2025-12-09,100,100.0,Completed
MPLADS/UT/2024-2025/0134,2024-10-19,89,99.26,Ongoing
MPLADS/MA/2025-2026/0135,2025-07-28,100,100.0,Completed
MPLADS/TA/2025-2026/0136,2025-10-19,74,62.47,Ongoing
MPLADS/MA/2024-2025/0137,2025-02-16,100,100.0,Completed
MPLADS/MA/2023-2024/0138,2024-01-02,100,100.0,Completed
MPLADS/TA/2026-2027/0139,2026-10-28,67,55.69,Ongoing
MPLADS/UT/2024-2025/0140,2025-01-05,63,71.16,Ongoing
MPLADS/TA/2024-2025/0141,2024-05-12,25,26.02,Ongoing
MPLADS/TA/2026-2027/0142,2026-05-05,57,52.51,Ongoing
MPLADS/MA/2024-2025/0143,2024-09-02,46,40.77,Ongoing
MPLADS/MA/2025-2026/0144,2025-09-04,87,74.22,Ongoing
MPLADS/TA/2026-2027/0145,2026-11-15,53,53.87,Ongoing
MPLADS/UT/2026-2027/0146,2026-08-07,34,40.19,Ongoing
MPLADS/MA/2023-2024/0147,2024-04-23,36,32.33,Ongoing
MPLADS/KA/2024-2025/0148,2024-11-12,58,52.37,Ongoing
MPLADS/KA/2024-2025/0149,2024-07-11,62,66.43,Delayed
MPLADS/UT/2024-2025/0150,2024-04-20,35,31.35,Ongoing
MPLADS/KA/2024-2025/0151,2024-09-13,12,10.89,Ongoing
MPLADS/MA/2026-2027/0152,2026-10-27,31,34.5,Delayed
MPLADS/MA/2024-2025/0153,2024-12-25,100,100.0,Completed
MPLADS/KA/2025-2026/0154,2025-11-03,25,28.3,Ongoing
MPLADS/UT/2025-2026/0155,2025-12-27,100,100.0,Completed
MPLADS/KA/2025-2026/0156,2025-06-11,60,60.92,Ongoing
MPLADS/MA/2025-2026/0157,2025-05-17,100,100.0,Completed
MPLADS/MA/2026-2027/0158,2026-07-17,55,48.21,Ongoing
MPLADS/UT/2026-2027/0159,2027-02-18,60,50.66,Ongoing
MPLADS/KA/2025-2026/0160,2026-03-14,82,93.66,Ongoing
MPLADS/KA/2026-2027/0161,2026-09-11,23,24.3,Ongoing
MPLADS/MA/2025-2026/0162,2026-02-14,38,31.11,Ongoing
MPLADS/TA/2025-2026/0163,2025-09-29,64,75.72,Ongoing
MPLADS/TA/2026-2027/0164,2026-06-02,65,73.01,Ongoing
MPLADS/MA/2026-2027/0165,2026-04-28,100,100.0,Completed
MPLADS/KA/2024-2025/0166,2024-09-06,100,100.0,Completed
MPLADS/MA/2024-2025/0167,2025-02-06,100,100.0,Completed
MPLADS/UT/2026-2027/0168,2026-04-12,13,12.76,Ongoing
MPLADS/UT/2025-2026/0169,2025-07-18,66,57.71,Ongoing
MPLADS/TA/2025-2026/0170,2025-10-10,49,50.64,Ongoing
MPLADS/UT/2026-2027/0171,2026-07-17,100,100.0,Completed
MPLADS/TA/2025-2026/0172,2025-06-14,69,71.75,Ongoing
MPLADS/MA/2026-2027/0173,2026-05-24,39,38.48,Ongoing
MPLADS/KA/2024-2025/0174,2024-06-17,61,53.3,Ongoing
MPLADS/MA/2023-2024/0175,2024-02-03,10,8.8,Delayed
MPLADS/UT/2023-2024/0176,2024-02-19,100,100.0,Completed
MPLADS/MA/2025-2026/0177,2025-06-12,36,33.19,Ongoing
MPLADS/TA/2025-2026/0178,2025-10-24,25,21.44,Ongoing
MPLADS/KA/2024-2025/0179,2024-07-20,100,100.0,Completed
MPLADS/UT/2026-2027/0180,2026-09-19,36,39.27,Ongoing
MPLADS/TA/2024-2025/0181,2024-12-13,100,100.0,Completed
MPLADS/MA/2025-2026/0182,2025-07-13,100,100.0,Completed
MPLADS/MA/2025-2026/0183,2025-03-31,39,40.31,Ongoing
MPLADS/KA/2026-2027/0184,2026-07-17,100,100.0,Completed
MPLADS/UT/2026-2027/0185,2026-05-04,45,39.43,Ongoing
MPLADS/UT/2025-2026/0186,2025-06-18,54,60.12,Ongoing
MPLADS/MA/2025-2026/0187,2025-06-17,36,35.63,Ongoing
MPLADS/KA/2026-2027/0188,2026-08-01,67,76.46,Ongoing
MPLADS/TA/2023-2024/0189,2024-02-23,100,100.0,Completed
MPLADS/UT/2025-2026/0190,2025-10-19,87,89.57,Ongoing
MPLADS/KA/2025-2026/0191,2025-06-22,48,40.19,Ongoing
MPLADS/UT/2026-2027/0192,2026-04-30,100,100.0,Completed
MPLADS/UT/2024-2025/0193,2024-08-07,100,100.0,Completed
MPLADS/TA/2024-2025/0194,2024-09-18,61,63.56,Delayed
MPLADS/UT/2026-2027/0195,2026-06-16,48,45.91,Delayed
MPLADS/UT/2026-2027/0196,2026-12-14,33,35.62,Ongoing
MPLADS/UT/2024-2025/0197,2024-06-09,37,43.05,Delayed
MPLADS/TA/2025-2026/0198,2025-10-05,30,32.33,Delayed
MPLADS/MA/2024-2025/0199,2024-10-26,100,100.0,Completed
MPLADS/MA/2025-2026/0200,2026-02-20,100,100.0,Completed
MPLADS/TA/2026-2027/0201,2027-02-17,78,69.14,Ongoing
MPLADS/UT/2025-2026/0202,2026-04-27,49,47.9,Ongoing
MPLADS/MA/2025-2026/0203,2026-02-25,35,29.28,Ongoing
MPLADS/MA/2023-2024/0204,2024-03-11,22,24.61,Ongoing
MPLADS/MA/2024-2025/0205,2024-11-28,37,31.17,Ongoing
MPLADS/TA/2024-2025/0206,2024-12-06,100,100.0,Completed
MPLADS/KA/2026-2027/0207,2026-04-10,23,24.96,Ongoing
MPLADS/KA/2026-2027/0208,2026-10-09,100,100.0,Completed
MPLADS/MA/2024-2025/0209,2024-08-18,11,9.82,Ongoing
MPLADS/KA/2024-2025/0210,2025-01-31,57,56.97,Ongoing
MPLADS/MA/2026-2027/0211,2026-07-24,100,100.0,Completed
MPLADS/TA/2025-2026/0212,2025-08-10,20,18.74,Ongoing
MPLADS/MA/2023-2024/0213,2024-02-28,18,20.66,Ongoing
MPLADS/TA/2024-2025/0214,2024-11-17,80,90.6,Ongoing
MPLADS/UT/2025-2026/0215,2025-10-30,41,39.75,Ongoing
MPLADS/MA/2025-2026/0216,2025-05-20,71,59.07,Ongoing
MPLADS/KA/2025-2026/0217,2026-02-02,100,100.0,Completed
MPLADS/UT/2024-2025/0218,2024-11-21,71,58.84,Ongoing
MPLADS/TA/2025-2026/0219,2026-02-21,57,54.36,Ongoing
MPLADS/MA/2026-2027/0220,2026-05-26,54,54.21,Ongoing
MPLADS/UT/2025-2026/0221,2025-11-25,100,100.0,Completed
MPLADS/KA/2025-2026/0222,2025-12-14,59,56.58,Ongoing
MPLADS/KA/2024-2025/0223,2024-09-12,100,100.0,Completed
MPLADS/KA/2024-2025/0224,2024-11-11,60,64.78,Ongoing
MPLADS/MA/2024-2025/0225,2024-11-04,46,50.29,Ongoing
MPLADS/KA/2026-2027/0226,2026-12-22,67,68.8,Ongoing
MPLADS/UT/2026-2027/0227,2026-08-14,62,60.53,Ongoing
MPLADS/UT/2024-2025/0228,2024-11-21,17,15.41,Ongoing
MPLADS/KA/2026-2027/0229,2026-04-26,100,100.0,Completed
MPLADS/TA/2026-2027/0230,2026-08-12,68,78.08,Delayed
MPLADS/MA/2025-2026/0231,2025-10-26,100,100.0,Completed
MPLADS/MA/2025-2026/0232,2025-10-17,88,98.35,Ongoing
MPLADS/UT/2024-2025/0233,2025-03-21,100,100.0,Completed
MPLADS/TA/2025-2026/0234,2025-04-18,79,70.81,Ongoing
MPLADS/MA/2025-2026/0235,2025-08-04,20,23.22,Ongoing
MPLADS/MA/2024-2025/0236,2024-08-18,72,60.2,Delayed
MPLADS/MA/2025-2026/0237,2026-04-13,100,100.0,Completed
MPLADS/MA/2025-2026/0238,2026-02-13,100,100.0,Completed
MPLADS/MA/2023-2024/0239,2024-01-18,100,100.0,Completed
MPLADS/UT/2024-2025/0240,2025-01-20,100,100.0,Completed
MPLADS/MA/2026-2027/0241,2026-12-07,100,100.0,Completed
MPLADS/MA/2025-2026/0242,2025-09-22,30,35.89,Ongoing
MPLADS/TA/2025-2026/0243,2025-10-14,34,36.74,Ongoing
MPLADS/UT/2024-2025/0244,2024-05-31,30,30.93,Ongoing
MPLADS/UT/2023-2024/0245,2024-02-12,100,100.0,Completed
MPLADS/MA/2026-2027/0246,2026-11-01,53,54.98,Ongoing
MPLADS/UT/2025-2026/0247,2026-03-15,69,79.07,Ongoing
MPLADS/MA/2024-2025/0248,2024-12-22,100,100.0,Completed
MPLADS/MA/2024-2025/0249,2024-05-20,22,20.46,Ongoing
MPLADS/UT/2026-2027/0250,2026-07-19,100,100.0,Completed
MPLADS/KA/2024-2025/0251,2024-03-27,14,11.67,Ongoing
MPLADS/MA/2024-2025/0252,2025-03-23,27,27.83,Ongoing
MPLADS/MA/2023-2024/0253,2024-01-15,100,100.0,Completed
MPLADS/TA/2026-2027/0254,2026-09-15,19,19.38,Ongoing
MPLADS/UT/2025-2026/0255,2026-02-25,19,19.98,Ongoing
MPLADS/MA/2026-2027/0256,2026-05-31,13,15.41,Ongoing
MPLADS/MA/2026-2027/0257,2026-11-15,21,19.85,Ongoing
MPLADS/MA/2024-2025/0258,2024-05-19,25,21.76,Ongoing
MPLADS/UT/2024-2025/0259,2024-09-03,16,13.89,Ongoing
MPLADS/MA/2024-2025/0260,2024-08-12,26,23.49,Ongoing
MPLADS/MA/2025-2026/0261,2025-10-18,63,68.21,Delayed
MPLADS/UT/2024-2025/0262,2024-07-21,49,51.66,Ongoing
MPLADS/UT/2026-2027/0263,2026-04-22,20,21.95,Ongoing
MPLADS/KA/2025-2026/0264,2025-03-29,100,100.0,Completed
MPLADS/MA/2025-2026/0265,2025-06-18,100,100.0,Completed
MPLADS/MA/2025-2026/0266,2026-01-22,55,64.95,Ongoing
MPLADS/MA/2026-2027/0267,2026-07-31,47,43.22,Ongoing
MPLADS/UT/2026-2027/0268,2026-07-01,14,16.44,Ongoing
MPLADS/MA/2025-2026/0269,2025-09-16,77,77.44,Delayed
MPLADS/TA/2024-2025/0270,2024-07-18,78,87.72,Ongoing
MPLADS/UT/2024-2025/0271,2024-02-27,34,31.07,Ongoing
MPLADS/MA/2024-2025/0272,2025-02-27,100,100.0,Completed
MPLADS/TA/2025-2026/0273,2025-10-16,26,22.42,Ongoing
MPLADS/KA/2024-2025/0274,2025-04-05,100,100.0,Completed
MPLADS/TA/2024-2025/0275,2024-11-06,41,43.73,Delayed
MPLADS/MA/2025-2026/0276,2025-06-24,34,40.7,Ongoing
MPLADS/UT/2025-2026/0277,2025-11-21,62,62.62,Ongoing
MPLADS/UT/2025-2026/0278,2025-06-29,50,57.9,Ongoing
MPLADS/MA/2024-2025/0279,2025-03-11,100,100.0,Completed
MPLADS/MA/2024-2025/0280,2024-04-29,100,100.0,Completed
MPLADS/MA/2025-2026/0281,2025-12-21,100,100.0,Completed
MPLADS/MA/2024-2025/0282,2024-05-28,35,35.47,Delayed
MPLADS/UT/2024-2025/0283,2024-07-20,81,96.39,Ongoing
MPLADS/MA/2024-2025/0284,2024-02-20,100,100.0,Completed
MPLADS/UT/2024-2025/0285,2024-11-30,100,100.0,Completed
MPLADS/KA/2023-2024/0286,2024-02-15,77,69.57,Ongoing
MPLADS/MA/2024-2025/0287,2024-08-27,47,38.33,Ongoing
MPLADS/UT/2023-2024/0288,2024-02-23,54,56.87,Ongoing
MPLADS/KA/2026-2027/0289,2026-11-18,100,100.0,Completed
MPLADS/MA/2026-2027/0290,2026-07-18,42,48.22,Delayed
MPLADS/TA/2024-2025/0291,2024-05-16,57,48.98,Ongoing
MPLADS/MA/2025-2026/0292,2025-12-21,33,34.95,Ongoing
MPLADS/UT/2026-2027/0293,2026-05-20,61,51.25,Delayed
MPLADS/UT/2026-2027/0294,2026-09-12,15,12.79,Delayed
MPLADS/KA/2026-2027/0295,2026-09-16,53,60.48,Ongoing
MPLADS/MA/2024-2025/0296,2024-09-27,71,61.19,Ongoing
MPLADS/UT/2025-2026/0297,2026-03-16,100,100.0,Completed
MPLADS/KA/2024-2025/0298,2024-04-12,100,100.0,Completed
MPLADS/TA/2024-2025/0299,2025-02-18,52,54.07,Ongoing
MPLADS/TA/2024-2025/0300,2025-01-28,100,100.0,Completed
MPLADS/MA/2024-2025/0301,2024-09-05,28,26.77,Ongoing
MPLADS/UT/2024-2025/0302,2025-01-09,55,51.02,Ongoing
MPLADS/KA/2026-2027/0303,2026-06-27,100,100.0,Completed
MPLADS/KA/2025-2026/0304,2025-11-16,12,11.34,Ongoing
MPLADS/MA/2024-2025/0305,2024-09-14,27,24.78,Ongoing
MPLADS/UT/2025-2026/0306,2025-04-06,23,24.5,Ongoing
MPLADS/TA/2024-2025/0307,2024-07-13,33,32.6,Ongoing
MPLADS/UT/2024-2025/0308,2024-05-23,100,100.0,Completed
MPLADS/MA/2024-2025/0309,2025-03-11,30,27.26,Ongoing
MPLADS/TA/2026-2027/0310,2026-11-02,100,100.0,Completed
MPLADS/MA/2024-2025/0311,2025-02-21,100,100.0,Completed
MPLADS/KA/2024-2025/0312,2024-04-28,14,12.55,Delayed
MPLADS/MA/2025-2026/0313,2025-05-29,100,100.0,Completed
MPLADS/MA/2023-2024/0314,2024-01-15,30,25.82,Ongoing
MPLADS/TA/2024-2025/0315,2024-11-11,100,100.0,Completed
MPLADS/UT/2026-2027/0316,2026-07-25,100,100.0,Completed
MPLADS/KA/2025-2026/0317,2025-10-09,100,100.0,Completed
MPLADS/TA/2024-2025/0318,2024-04-19,66,69.97,Ongoing
MPLADS/UT/2025-2026/0319,2025-05-25,26,25.38,Ongoing
MPLADS/TA/2026-2027/0320,2026-04-26,11,9.48,Ongoing
MPLADS/MA/2024-2025/0321,2024-07-27,78,90.48,Ongoing
MPLADS/MA/2024-2025/0322,2024-09-28,35,33.62,Ongoing
MPLADS/KA/2025-2026/0323,2026-03-03,70,60.07,Ongoing
MPLADS/MA/2023-2024/0324,2024-01-22,100,100.0,Completed
MPLADS/MA/2025-2026/0325,2026-03-16,43,37.57,Ongoing
MPLADS/MA/2024-2025/0326,2024-10-14,71,70.3,Ongoing
MPLADS/MA/2026-2027/0327,2026-06-18,86,75.63,Ongoing
MPLADS/MA/2026-2027/0328,2026-11-18,73,83.64,Delayed
MPLADS/UT/2024-2025/0329,2024-07-09,34,32.91,Ongoing
MPLADS/TA/2025-2026/0330,2026-02-16,100,100.0,Completed
MPLADS/MA/2025-2026/0331,2026-05-07,79,76.66,Ongoing
MPLADS/TA/2026-2027/0332,2026-12-01,65,68.49,Ongoing
MPLADS/MA/2025-2026/0333,2025-05-12,100,100.0,Completed
MPLADS/KA/2025-2026/0334,2025-05-21,100,100.0,Completed
MPLADS/MA/2025-2026/0335,2025-04-16,10,11.6,Delayed
MPLADS/KA/2026-2027/0336,2026-09-28,86,79.72,Ongoing
MPLADS/MA/2025-2026/0337,2025-04-10,100,100.0,Completed
MPLADS/UT/2025-2026/0338,2025-03-19,43,48.8,Ongoing
MPLADS/TA/2025-2026/0339,2025-10-31,83,79.1,Delayed
MPLADS/KA/2024-2025/0340,2025-02-19,58,64.27,Ongoing
MPLADS/MA/2024-2025/0341,2024-10-22,86,73.02,Ongoing
MPLADS/MA/2025-2026/0342,2025-07-11,12,11.59,Ongoing
MPLADS/MA/2025-2026/0343,2026-01-16,87,99.35,Ongoing
MPLADS/KA/2024-2025/0344,2024-12-07,13,13.19,Ongoing
MPLADS/MA/2024-2025/0345,2024-04-20,35,41.35,Ongoing
MPLADS/KA/2024-2025/0346,2025-05-18,100,100.0,Completed
MPLADS/TA/2026-2027/0347,2026-06-04,64,56.31,Ongoing
MPLADS/UT/2025-2026/0348,2025-04-07,77,72.45,Ongoing
MPLADS/MA/2023-2024/0349,2023-12-24,100,100.0,Completed
MPLADS/UT/2025-2026/0350,2025-09-14,100,100.0,Completed
MPLADS/KA/2026-2027/0351,2026-05-05,100,100.0,Completed
MPLADS/TA/2025-2026/0352,2025-08-01,100,100.0,Completed
MPLADS/MA/2025-2026/0353,2025-10-06,77,62.8,Ongoing
MPLADS/UT/2025-2026/0354,2026-04-05,54,51.85,Ongoing
MPLADS/MA/2025-2026/0355,2025-07-06,57,66.98,Ongoing
MPLADS/KA/2026-2027/0356,2026-05-29,100,100.0,Completed
MPLADS/MA/2025-2026/0357,2025-12-02,52,55.91,Ongoing
MPLADS/TA/2026-2027/0358,2026-07-11,100,100.0,Completed
MPLADS/UT/2026-2027/0359,2027-01-16,20,18.82,Ongoing
MPLADS/UT/2026-2027/0360,2026-05-15,17,15.04,Ongoing
MPLADS/UT/2023-2024/0361,2024-03-23,77,77.43,Ongoing
MPLADS/MA/2026-2027/0362,2026-05-06,89,89.48,Ongoing
MPLADS/UT/2026-2027/0363,2026-08-04,23,25.25,Ongoing
MPLADS/KA/2025-2026/0364,2025-09-30,100,100.0,Completed
MPLADS/MA/2024-2025/0365,2025-03-21,100,100.0,Completed
MPLADS/TA/2025-2026/0366,2026-02-10,100,100.0,Completed
MPLADS/TA/2025-2026/0367,2025-11-23,73,64.41,Ongoing
MPLADS/MA/2023-2024/0368,2024-03-04,74,86.07,Ongoing
MPLADS/TA/2025-2026/0369,2025-07-24,28,33.18,Ongoing
MPLADS/UT/2023-2024/0370,2024-03-11,70,72.33,Ongoing
MPLADS/UT/2025-2026/0371,2026-03-23,100,100.0,Completed
MPLADS/UT/2025-2026/0372,2025-06-18,100,100.0,Completed
MPLADS/MA/2025-2026/0373,2025-08-22,86,85.46,Ongoing
MPLADS/MA/2025-2026/0374,2025-05-25,100,100.0,Completed
MPLADS/MA/2026-2027/0375,2026-11-01,45,41.57,Ongoing
MPLADS/KA/2026-2027/0376,2026-05-03,28,27.62,Ongoing
MPLADS/MA/2025-2026/0377,2025-06-30,72,66.41,Ongoing
MPLADS/MA/2024-2025/0378,2024-08-28,100,100.0,Completed
MPLADS/TA/2025-2026/0379,2026-02-15,41,46.11,Delayed
MPLADS/UT/2025-2026/0380,2025-11-28,100,100.0,Completed
MPLADS/UT/2023-2024/0381,2024-03-04,90,88.6,Ongoing
MPLADS/KA/2024-2025/0382,2024-05-10,69,64.98,Delayed
MPLADS/MA/2025-2026/0383,2025-07-04,41,42.32,Ongoing
MPLADS/KA/2026-2027/0384,2026-12-05,26,24.99,Ongoing
