unique_work_number,installment_number,amount,release_date,transaction_type
MPLADS/MA/2025-2026/0013,2,121113.67,2025-06-14 00:00:00,Release
MPLADS/MA/2025-2026/0013,3,173570.18,2025-08-25 00:00:00,Release
MPLADS/UT/2025-2026/0014,1,33445.06,2025-12-14,Release
MPLADS/UT/2025-2026/0014,2,46994.42,2026-05-31,Release
MPLADS/UT/2025-2026/0014,3,38290.31,2026-08-21,Release
MPLADS/TA/2025-2026/0015,1,226059.61,2025-03-31,Release
MPLADS/TA/2025-2026/0015,2,234694.58,2025-06-05,Release
MPLADS/MA/2024-2025/0016,1,1185582.83,2024-11-16,Release
MPLADS/UT/2024-2025/0017,1,267469.34,2024-02-02,Release
MPLADS/UT/2024-2025/0017,2,193250.03,2024-04-30,Release
MPLADS/UT/2024-2025/0017,3,238270.01,2024-07-05,Release
MPLADS/UT/2024-2025/0018,1,137633.34,2024-10-25,Release
MPLADS/UT/2024-2025/0018,2,111440.28,2025-01-27,Release
MPLADS/UT/2024-2025/0018,3,130455.02,2025-06-24,Release
MPLADS/UT/2026-2027/0019,1,133457.35,2026-09-15,Release
MPLADS/UT/2026-2027/0019,2,167142.1,2026-12-04,Release
MPLADS/KA/2025-2026/0020,1,161090.67,2025-10-06,Release
MPLADS/MA/2026-2027/0021,1,1228147.87,2026-05-22,Release
MPLADS/MA/2026-2027/0021,2,1294494.66,2026-11-16,Release
MPLADS/UT/2024-2025/0022,1,1850270.21,2024-02-03,Release
MPLADS/KA/2026-2027/0023,1,1549647.64,2026-10-14,Release
MPLADS/KA/2024-2025/0024,1,2172579.75,2024-06-12,Release
MPLADS/UT/2026-2027/0025,1,235461.2,2026-03-01,Release
MPLADS/UT/2026-2027/0025,2,261204.27,2026-03-17 00:00:00,Release
MPLADS/MA/2026-2027/0026,1,320913.09,2026-10-04,Release
MPLADS/MA/2026-2027/0026,2,332381.96,2027-02-14,Release
MPLADS/MA/2026-2027/0026,3,311683.19,2027-04-25,Release
MPLADS/MA/2026-2027/0026,4,224445.59,2027-10-21,Release
MPLADS/KA/2024-2025/0027,1,581229.72,2024-01-30,Release
MPLADS/KA/2024-2025/0027,2,842742.62,2024-06-20,Release
MPLADS/TA/2025-2026/0028,1,1942434.22,2026-01-03,Release
MPLADS/TA/2024-2025/0029,1,467530.82,2024-05-18,Release
MPLADS/MA/2026-2027/0030,1,408114.76,2026-02-23,Release
MPLADS/MA/2026-2027/0030,2,313048.22,2026-07-01,Release
MPLADS/MA/2026-2027/0031,1,332722.19,2026-10-04,Release
MPLADS/MA/2026-2027/0031,2,336214.5,2027-01-30,Release
MPLADS/MA/2026-2027/0031,3,539130.27,2027-04-22,Release
MPLADS/TA/2025-2026/0032,1,904561.14,2025-12-07,Release
MPLADS/TA/2025-2026/0032,2,816919.73,2026-05-03,Release
MPLADS/UT/2023-2024/0033,1,4790846.63,2023-11-09,Release
MPLADS/TA/2025-2026/0034,1,340882.01,2025-11-18,Release
MPLADS/TA/2025-2026/0034,2,310690.69,2026-03-14,Release
MPLADS/TA/2025-2026/0034,3,296423.0,2026-09-04,Release
MPLADS/MA/2026-2027/0035,1,2297635.16,2026-10-04,Release
MPLADS/UT/2026-2027/0036,1,61101.98,2026-11-01,Release
MPLADS/UT/2026-2027/0036,2,72785.77,2027-02-09,Release
MPLADS/UT/2026-2027/0036,3,61759.07,2027-05-27,Release
MPLADS/UT/2026-2027/0036,4,87068.5,2027-07-30,Release
MPLADS/KA/2026-2027/0037,1,331048.3,2026-02-24,Release
MPLADS/KA/2026-2027/0037,2,350741.69,2026-08-01,Release
MPLADS/KA/2026-2027/0037,3,352486.0,2026-11-09,Release
MPLADS/KA/2026-2027/0037,4,600590.83,2027-03-18,Release
MPLADS/UT/2024-2025/0038,1,321524.77,2025-01-08,Release
MPLADS/UT/2024-2025/0038,2,215411.95,2025-06-19,Release
MPLADS/KA/2025-2026/0039,1,69806.91,2025-10-26,Release
MPLADS/KA/2025-2026/0039,2,81415.85,2026-04-11,Release
MPLADS/MA/2024-2025/0040,1,400319.66,2024-03-29 00:00:00,Release
MPLADS/MA/2024-2025/0040,2,469495.74,2024-08-22 00:00:00,Release
MPLADS/MA/2024-2025/0040,3,448223.87,2024-12-25 00:00:00,Release
MPLADS/KA/2024-2025/0041,1,509145.48,2025-01-12,Release
MPLADS/KA/2024-2025/0041,2,479156.38,2025-03-14,Release
MPLADS/KA/2024-2025/0041,3,584662.16,2025-07-09,Release
MPLADS/MA/2026-2027/0042,1,721954.08,2026-08-13,Release
MPLADS/MA/2026-2027/0042,2,523772.18,2026-12-04,Release
MPLADS/UT/2025-2026/0043,1,146733.94,2025-12-21,Release
MPLADS/UT/2025-2026/0043,2,140488.52,2026-04-12,Release
MPLADS/UT/2025-2026/0043,3,112073.25,2026-07-03,Release
MPLADS/KA/2024-2025/0044,1,680741.16,2025-01-09,Release
MPLADS/KA/2024-2025/0044,2,657991.43,2025-05-20,Release
MPLADS/KA/2024-2025/0044,3,462433.48,2025-03-23 00:00:00,Release
MPLADS/TA/2025-2026/0045,1,104064.72,2025-07-01,Release
MPLADS/TA/2025-2026/0045,2,122267.33,2025-12-24,Release
MPLADS/TA/2025-2026/0045,3,114835.55,2026-03-09,Release
MPLADS/KA/2024-2025/0046,1,244319.52,2024-03-30,Release
MPLADS/KA/2024-2025/0046,2,262009.91,2024-08-25,Release
MPLADS/KA/2024-2025/0046,3,190930.52,2025-01-25,Release
MPLADS/TA/2024-2025/0047,1,104669.06,2024-07-07,Release
MPLADS/TA/2024-2025/0047,2,136101.32,2024-03-24 00:00:00,Release
MPLADS/TA/2024-2025/0047,3,104646.17,2024-07-29 00:00:00,Release
MPLADS/MA/2025-2026/0048,1,559239.85,2025-06-07,Release
MPLADS/MA/2025-2026/0048,2,729475.02,2025-09-15,Release
MPLADS/MA/2025-2026/0048,3,586160.92,2025-12-22,Release
MPLADS/MA/2025-2026/0048,4,705672.33,2026-04-07,Release
MPLADS/UT/2025-2026/0049,1,2135261.66,2025-08-19,Release
MPLADS/KA/2026-2027/0050,1,53003.11,2026-05-26,Release
MPLADS/KA/2026-2027/0050,2,58956.96,2026-09-30,Release
MPLADS/KA/2026-2027/0050,3,57097.5,2027-02-26,Release
MPLADS/KA/2026-2027/0050,4,38094.63,2027-06-24,Release
MPLADS/KA/2024-2025/0051,1,915727.84,2024-08-26,Release
MPLADS/UT/2025-2026/0052,1,1543315.3,2025-06-28,Release
MPLADS/TA/2026-2027/0053,1,507349.79,2026-08-12,Release
MPLADS/TA/2026-2027/0053,2,435392.84,2026-03-30 00:00:00,Release
MPLADS/TA/2025-2026/0054,1,1118939.84,2025-03-31,Release
MPLADS/KA/2026-2027/0055,1,1647125.82,2026-09-06,Release
MPLADS/TA/2026-2027/0056,1,1548837.44,2026-02-21,Release
MPLADS/TA/2025-2026/0057,1,1129566.45,2025-05-18,Release
MPLADS/MA/2026-2027/0058,1,234116.83,2026-06-27,Release
MPLADS/MA/2026-2027/0058,2,261684.07,2026-11-24,Release
MPLADS/MA/2026-2027/0058,3,297272.29,2027-02-15,Release
MPLADS/UT/2023-2024/0059,1,341110.28,2023-12-25,Release
MPLADS/KA/2024-2025/0060,1,962619.86,2024-08-29,Release
MPLADS/KA/2024-2025/0060,2,1348872.06,2024-12-16,Release
MPLADS/MA/2025-2026/0061,1,426548.79,2025-03-01,Release
MPLADS/MA/2025-2026/0061,2,355441.24,2025-03-30 00:00:00,Release
MPLADS/MA/2025-2026/0061,3,344039.65,2025-08-23 00:00:00,Release
MPLADS/MA/2025-2026/0062,1,1285519.69,2025-08-11,Release
MPLADS/MA/2025-2026/0063,1,60567.32,2025-06-07,Release
MPLADS/MA/2025-2026/0063,2,71305.39,2025-11-06,Release
MPLADS/MA/2025-2026/0063,3,82119.64,2026-04-13,Release
MPLADS/MA/2025-2026/0064,1,234845.62,2025-10-26,Release
MPLADS/MA/2025-2026/0064,2,181410.95,2026-02-28,Release
MPLADS/MA/2025-2026/0064,3,168936.81,2026-05-12,Release
MPLADS/MA/2025-2026/0064,4,210856.0,2026-08-09,Release
MPLADS/TA/2025-2026/0065,1,2775339.35,2025-12-12,Release
MPLADS/TA/2026-2027/0066,1,2166803.35,2026-01-30,Release
MPLADS/MA/2026-2027/0067,1,268963.13,2026-04-25,Release
MPLADS/MA/2026-2027/0067,2,383931.69,2026-08-18,Release
MPLADS/MA/2026-2027/0067,3,346883.67,2026-12-13,Release
MPLADS/MA/2024-2025/0068,1,111097.24,2024-07-19,Release
MPLADS/MA/2024-2025/0068,2,106531.17,2024-12-17,Release
MPLADS/MA/2024-2025/0068,3,119281.67,2025-04-28,Release
MPLADS/MA/2024-2025/0068,4,108998.6,2025-09-22,Release
MPLADS/MA/2026-2027/0069,1,300518.55,2026-09-15,Release
MPLADS/MA/2025-2026/0070,1,913218.16,2025-11-02,Release
MPLADS/MA/2025-2026/0070,2,1030728.34,2026-01-04,Release
MPLADS/MA/2024-2025/0071,1,554491.24,2024-12-05,Release
MPLADS/MA/2024-2025/0071,2,722173.66,2025-02-13,Release
MPLADS/MA/2024-2025/0071,3,584358.63,2025-05-23,Release
MPLADS/MA/2025-2026/0072,1,4224391.8,2025-05-30,Release
MPLADS/TA/2026-2027/0073,1,372683.29,2026-08-01,Release
MPLADS/TA/2026-2027/0073,2,290849.39,2026-12-25,Release
MPLADS/KA/2024-2025/0074,1,1252670.64,2024-12-20,Release
MPLADS/KA/2024-2025/0074,2,853290.12,2025-06-06,Release
MPLADS/KA/2026-2027/0075,1,94916.16,2026-07-19,Release
MPLADS/KA/2026-2027/0075,2,71943.76,2026-10-30,Release
MPLADS/UT/2023-2024/0076,1,1568863.62,2023-11-06,Release
MPLADS/UT/2023-2024/0076,2,1209126.21,2024-02-12,Release
MPLADS/TA/2024-2025/0077,1,119576.49,2024-11-14,Release
MPLADS/TA/2024-2025/0077,2,118821.61,2025-03-20,Release
MPLADS/TA/2024-2025/0077,3,110441.26,2025-06-15,Release
MPLADS/TA/2024-2025/0077,4,66227.56,2025-12-12,Release
MPLADS/TA/2023-2024/0078,1,416225.8,2023-11-21,Release
MPLADS/TA/2023-2024/0078,2,360913.47,2024-02-14,Release
MPLADS/TA/2023-2024/0078,3,367757.76,2024-05-03,Release
MPLADS/UT/2025-2026/0079,1,1544145.73,2025-09-07,Release
MPLADS/KA/2024-2025/0080,1,117272.44,2024-05-22,Release
MPLADS/KA/2025-2026/0081,1,508916.87,2025-10-19,Release
MPLADS/TA/2025-2026/0082,1,567375.38,2025-02-19,Release
MPLADS/TA/2025-2026/0082,2,793935.95,2025-08-08,Release
MPLADS/TA/2025-2026/0083,1,894559.89,2025-07-27,Release
MPLADS/TA/2025-2026/0083,2,860489.41,2025-12-07,Release
MPLADS/TA/2025-2026/0083,3,605059.24,2026-04-12,Release
MPLADS/TA/2024-2025/0084,1,835658.28,2024-12-08,Release
MPLADS/MA/2025-2026/0085,1,157787.23,2025-02-11,Release
MPLADS/MA/2025-2026/0085,2,198535.01,2025-06-03,Release
MPLADS/UT/2024-2025/0086,1,269282.34,2024-11-11,Release
MPLADS/UT/2024-2025/0086,2,286218.14,2025-02-14,Release
MPLADS/MA/2025-2026/0087,1,562686.21,2025-04-12,Release
MPLADS/MA/2025-2026/0087,2,819964.67,2025-09-21,Release
MPLADS/TA/2026-2027/0088,1,487938.24,2026-04-15,Release
MPLADS/TA/2026-2027/0088,2,379584.54,2026-10-02,Release
MPLADS/KA/2024-2025/0089,1,345435.07,2024-08-05,Release
MPLADS/KA/2024-2025/0089,2,427191.15,2025-01-25,Release
MPLADS/TA/2025-2026/0090,1,1392183.69,2025-09-01,Release
MPLADS/MA/2024-2025/0091,1,401623.18,2024-05-03,Release
MPLADS/MA/2024-2025/0091,2,452219.75,2024-10-14,Release
MPLADS/UT/2025-2026/0092,1,1306989.51,2025-08-16,Release
MPLADS/UT/2025-2026/0092,2,1034430.17,2025-12-05,Release
MPLADS/UT/2025-2026/0093,1,574576.58,2025-03-22,Release
MPLADS/KA/2024-2025/0094,1,681334.13,2024-03-02,Release
MPLADS/KA/2024-2025/0094,2,825588.93,2024-08-14,Release
MPLADS/MA/2026-2027/0095,1,98753.14,2026-10-08,Release
MPLADS/MA/2026-2027/0095,2,75293.66,2027-02-25,Release
MPLADS/MA/2026-2027/0095,3,79329.89,2027-06-24,Release
MPLADS/UT/2025-2026/0096,1,233006.15,2025-04-18,Release
MPLADS/UT/2025-2026/0096,2,324675.31,2025-08-28,Release
MPLADS/MA/2025-2026/0097,1,431660.83,2025-10-31,Release
MPLADS/MA/2025-2026/0097,2,322480.28,2026-02-04,Release
MPLADS/KA/2023-2024/0098,1,1679533.98,2024-01-13,Release
MPLADS/MA/2025-2026/0099,1,682876.96,2025-10-08,Release
MPLADS/MA/2025-2026/0099,2,835762.69,2026-02-27,Release
MPLADS/KA/2024-2025/0100,1,211505.38,2024-10-28,Release
MPLADS/KA/2024-2025/0100,2,197660.33,2025-01-08,Release
MPLADS/KA/2024-2025/0100,3,170596.71,2025-07-06,Release
MPLADS/UT/2025-2026/0101,1,68275.71,2025-06-22,Release
MPLADS/UT/2025-2026/0101,2,69620.66,2025-10-10,Release
MPLADS/UT/2025-2026/0101,3,66709.39,2026-04-02,Release
MPLADS/UT/2025-2026/0101,4,56022.57,2026-07-04,Release
MPLADS/TA/2025-2026/0102,1,415248.07,2025-02-27,Release
MPLADS/TA/2025-2026/0102,2,348893.93,2025-06-07,Release
MPLADS/TA/2025-2026/0102,3,515944.54,2025-11-25,Release
MPLADS/MA/2024-2025/0103,1,339986.7,2024-04-10,Release
MPLADS/MA/2024-2025/0103,2,260783.73,2024-08-14,Release
MPLADS/UT/2026-2027/0104,1,196988.66,2026-04-10,Release
MPLADS/UT/2026-2027/0104,2,183214.45,2026-07-02,Release
MPLADS/UT/2026-2027/0104,3,294748.44,2026-11-29,Release
MPLADS/TA/2024-2025/0105,1,628672.22,2024-08-23,Release
MPLADS/TA/2024-2025/0105,2,519049.5,2024-11-06,Release
MPLADS/TA/2024-2025/0105,3,509098.2,2025-02-10,Release
MPLADS/MA/2026-2027/0106,1,308733.03,2026-01-19,Release
MPLADS/MA/2026-2027/0106,2,356936.86,2026-05-12,Release
MPLADS/MA/2026-2027/0106,3,250990.28,2026-09-12,Release
MPLADS/UT/2025-2026/0107,1,2084696.43,2025-11-08,Release
MPLADS/MA/2025-2026/0108,1,660091.43,2025-03-16 00:00:00,Release
MPLADS/MA/2025-2026/0108,2,667256.85,2025-08-06 00:00:00,Release
MPLADS/MA/2025-2026/0108,3,581015.6,2026-01-06 00:00:00,Release
MPLADS/UT/2024-2025/0109,1,435494.32,2025-01-06,Release
MPLADS/KA/2024-2025/0110,1,337040.1,2024-03-21 00:00:00,Release
MPLADS/KA/2024-2025/0110,2,365443.69,2024-06-09 00:00:00,Release
MPLADS/TA/2025-2026/0111,1,61779.82,2025-02-02,Release
MPLADS/TA/2025-2026/0111,2,48230.63,2025-06-27,Release
MPLADS/TA/2025-2026/0111,3,62561.34,2025-09-20,Release
MPLADS/MA/2024-2025/0112,1,306389.12,2024-11-30,Release
MPLADS/MA/2024-2025/0112,2,286736.14,2025-03-25,Release
MPLADS/MA/2024-2025/0112,3,224350.03,2025-07-28,Release
MPLADS/MA/2026-2027/0113,1,221781.67,2026-06-02,Release
MPLADS/MA/2026-2027/0113,2,209319.1,2026-10-01,Release
MPLADS/MA/2026-2027/0113,3,264143.17,2027-02-25,Release
MPLADS/MA/2026-2027/0113,4,214683.52,2027-07-01,Release
MPLADS/MA/2026-2027/0114,1,228048.55,2026-03-28,Release
MPLADS/MA/2026-2027/0114,2,316354.06,2026-08-07,Release
MPLADS/TA/2026-2027/0115,1,363527.75,2026-02-09,Release
MPLADS/TA/2026-2027/0115,2,341128.92,2026-05-30,Release
MPLADS/TA/2026-2027/0115,3,546269.14,2026-10-27,Release
MPLADS/TA/2026-2027/0116,1,295502.88,2026-11-03,Release
MPLADS/TA/2026-2027/0116,2,242356.1,2027-04-23,Release
MPLADS/TA/2026-2027/0117,1,2106898.88,2026-08-14,Release
MPLADS/UT/2024-2025/0118,1,238062.93,2024-04-21,Release
MPLADS/UT/2024-2025/0118,2,189116.14,2024-03-18 00:00:00,Release
MPLADS/UT/2024-2025/0118,3,179397.83,2024-08-29 00:00:00,Release
MPLADS/UT/2024-2025/0118,4,283343.94,2025-03-30 00:00:00,Release
MPLADS/KA/2025-2026/0119,1,2066021.85,2025-02-23,Release
MPLADS/KA/2025-2026/0119,2,2885869.82,2025-05-12,Release
MPLADS/TA/2025-2026/0120,1,353953.96,2025-12-11,Release
MPLADS/TA/2025-2026/0120,2,447264.39,2026-05-26,Release
MPLADS/TA/2025-2026/0120,3,382505.73,2026-07-26,Release
MPLADS/MA/2025-2026/0121,1,763777.85,2025-03-27 00:00:00,Release
MPLADS/MA/2025-2026/0121,2,509598.5,2025-07-27 00:00:00,Release
MPLADS/UT/2024-2025/0122,1,60384.75,2024-11-13,Release
MPLADS/UT/2024-2025/0122,2,84545.26,2025-03-06,Release
MPLADS/UT/2024-2025/0122,3,74543.36,2025-07-23,Release
MPLADS/TA/2024-2025/0123,1,185598.77,2024-04-10,Release
MPLADS/TA/2024-2025/0123,2,173128.77,2024-09-04,Release
MPLADS/TA/2024-2025/0123,3,196373.29,2025-02-18,Release
MPLADS/KA/2025-2026/0124,1,352088.23,2025-05-03,Release
MPLADS/KA/2025-2026/0124,2,359970.77,2025-07-22,Release
MPLADS/MA/2025-2026/0125,1,824296.08,2025-02-15,Release
MPLADS/MA/2025-2026/0125,2,651095.47,2025-06-18,Release
MPLADS/KA/2025-2026/0126,1,2348758.93,2025-08-12,Release
MPLADS/KA/2025-2026/0126,2,1804001.94,2025-10-15,Release
MPLADS/MA/2025-2026/0127,1,621849.77,2025-06-19,Release
MPLADS/MA/2024-2025/0128,1,220948.43,2024-05-19,Release
MPLADS/MA/2024-2025/0128,2,264774.88,2024-10-28,Release
MPLADS/MA/2024-2025/0128,3,322458.21,2025-01-10,Release
MPLADS/UT/2024-2025/0129,1,332287.08,2024-01-17,Release
MPLADS/UT/2024-2025/0129,2,345355.77,2024-06-18,Release
MPLADS/UT/2024-2025/0129,3,376434.31,2024-10-20,Release
MPLADS/UT/2024-2025/0129,4,452629.8,2025-01-07,Release
MPLADS/KA/2025-2026/0130,1,700625.18,2025-03-30 00:00:00,Release
MPLADS/MA/2024-2025/0131,1,146915.41,2024-04-25,Release
MPLADS/MA/2024-2025/0131,2,158448.47,2024-08-30,Release
MPLADS/MA/2024-2025/0131,3,185346.21,2025-02-08,Release
MPLADS/MA/2024-2025/0132,1,491681.06,2024-12-31,Release
MPLADS/MA/2024-2025/0132,2,522474.4,2025-05-06,Release
MPLADS/MA/2024-2025/0132,3,317037.97,2025-08-14,Release
MPLADS/MA/2025-2026/0133,1,158577.5,2025-10-28,Release
MPLADS/MA/2025-2026/0133,2,141676.07,2026-04-08,Release
MPLADS/MA/2025-2026/0133,3,128838.75,2026-07-14,Release
MPLADS/MA/2025-2026/0133,4,103452.08,2026-12-10,Release
MPLADS/UT/2024-2025/0134,1,270795.01,2024-07-30,Release
MPLADS/UT/2024-2025/0134,2,247889.67,2024-11-18,Release
MPLADS/MA/2025-2026/0135,1,150061.44,2025-05-05,Release
MPLADS/MA/2025-2026/0135,2,130389.88,2025-03-25 00:00:00,Release
MPLADS/MA/2025-2026/0135,3,144450.16,2025-07-12 00:00:00,Release
MPLADS/TA/2025-2026/0136,1,260994.94,2025-08-28,Release
MPLADS/TA/2025-2026/0136,2,243812.57,2026-03-23 00:00:00,Release
MPLADS/TA/2025-2026/0136,3,341753.2,2026-06-21 00:00:00,Release
MPLADS/MA/2024-2025/0137,1,190700.14,2024-12-12,Release
MPLADS/MA/2024-2025/0137,2,228044.62,2025-02-25,Release
MPLADS/MA/2024-2025/0137,3,279711.11,2025-04-26,Release
MPLADS/MA/2023-2024/0138,1,359970.91,2023-11-29,Release
MPLADS/MA/2023-2024/0138,2,326708.01,2024-03-12,Release
MPLADS/MA/2023-2024/0138,3,385770.74,2024-08-23,Release
MPLADS/MA/2023-2024/0138,4,348513.2,2025-01-21,Release
MPLADS/TA/2026-2027/0139,1,127223.19,2026-08-17,Release
MPLADS/TA/2026-2027/0139,2,146616.74,2026-12-09,Release
MPLADS/TA/2026-2027/0139,3,114934.96,2027-02-14,Release
MPLADS/UT/2024-2025/0140,1,61978.11,2024-10-23,Release
MPLADS/UT/2024-2025/0140,2,68232.87,2025-02-23,Release
MPLADS/UT/2024-2025/0140,3,63892.59,2025-07-21,Release
MPLADS/TA/2024-2025/0141,1,949554.67,2024-01-26,Release
MPLADS/TA/2024-2025/0141,2,677624.82,2024-06-01,Release
MPLADS/TA/2024-2025/0141,3,772275.93,2024-03-20 00:00:00,Release
MPLADS/TA/2026-2027/0142,1,1322156.68,2026-02-27,Release
MPLADS/MA/2024-2025/0143,1,112858.25,2024-06-04,Release
MPLADS/MA/2025-2026/0144,1,452535.05,2025-03-30 00:00:00,Release
MPLADS/MA/2025-2026/0144,2,505532.49,2025-08-10 00:00:00,Release
MPLADS/MA/2025-2026/0144,3,683483.57,2025-11-21 00:00:00,Release
MPLADS/TA/2026-2027/0145,1,522041.23,2026-09-03,Release
MPLADS/TA/2026-2027/0145,2,445355.36,2026-12-13,Release
MPLADS/TA/2026-2027/0145,3,631292.57,2027-05-01,Release
MPLADS/UT/2026-2027/0146,1,376413.13,2026-03-24 00:00:00,Release
MPLADS/UT/2026-2027/0146,2,492654.48,2026-08-02 00:00:00,Release
MPLADS/MA/2023-2024/0147,1,78049.0,2024-01-09,Release
MPLADS/MA/2023-2024/0147,2,71962.64,2024-07-01,Release
MPLADS/MA/2023-2024/0147,3,117353.2,2024-11-06,Release
MPLADS/KA/2024-2025/0148,1,145783.79,2024-09-26,Release
MPLADS/KA/2024-2025/0148,2,179806.87,2025-03-28 00:00:00,Release
MPLADS/KA/2024-2025/0148,3,145605.57,2025-06-19 00:00:00,Release
MPLADS/KA/2024-2025/0149,1,347928.34,2024-05-05,Release
MPLADS/UT/2024-2025/0150,1,357848.62,2024-01-20,Release
MPLADS/UT/2024-2025/0150,2,375725.06,2024-04-07,Release
MPLADS/UT/2024-2025/0150,3,434327.22,2024-07-24,Release
MPLADS/KA/2024-2025/0151,1,206640.29,2024-05-25,Release
MPLADS/KA/2024-2025/0151,2,200860.35,2024-07-31,Release
MPLADS/KA/2024-2025/0151,3,242298.33,2024-10-07,Release
MPLADS/MA/2026-2027/0152,1,129139.67,2026-07-24,Release
MPLADS/MA/2026-2027/0152,2,113410.79,2026-11-13,Release
MPLADS/MA/2026-2027/0152,3,105195.7,2027-03-17,Release
MPLADS/MA/2024-2025/0153,1,320153.7,2024-11-13,Release
MPLADS/MA/2024-2025/0153,2,226368.7,2025-02-02,Release
MPLADS/MA/2024-2025/0153,3,302129.85,2025-06-03,Release
MPLADS/KA/2025-2026/0154,1,533454.86,2025-07-17,Release
MPLADS/KA/2025-2026/0154,2,635729.86,2025-11-22,Release
MPLADS/UT/2025-2026/0155,1,205677.54,2025-10-20,Release
MPLADS/UT/2025-2026/0155,2,220234.54,2026-04-11,Release
MPLADS/UT/2025-2026/0155,3,244666.3,2026-07-13,Release
MPLADS/UT/2025-2026/0155,4,150548.57,2026-10-15,Release
MPLADS/KA/2025-2026/0156,1,63908.45,2025-03-30 00:00:00,Release
MPLADS/KA/2025-2026/0156,2,70066.43,2025-05-29 00:00:00,Release
MPLADS/KA/2025-2026/0156,3,47141.17,2025-09-18 00:00:00,Release
MPLADS/MA/2025-2026/0157,1,1188985.75,2025-03-10,Release
MPLADS/MA/2025-2026/0157,2,1322688.55,2025-06-23,Release
MPLADS/MA/2025-2026/0157,3,1049398.84,2025-11-06,Release
MPLADS/MA/2025-2026/0157,4,889368.27,2026-04-13,Release
MPLADS/MA/2026-2027/0158,1,299889.33,2026-03-30,Release
MPLADS/UT/2026-2027/0159,1,61329.37,2027-01-05,Release
MPLADS/UT/2026-2027/0159,2,55909.13,2027-04-21,Release
MPLADS/UT/2026-2027/0159,3,88633.1,2027-09-18,Release
MPLADS/KA/2025-2026/0160,1,680508.03,2025-11-14,Release
MPLADS/KA/2025-2026/0160,2,665959.15,2026-04-10,Release
MPLADS/KA/2025-2026/0160,3,572375.03,2026-08-23,Release
MPLADS/KA/2026-2027/0161,1,124770.28,2026-05-28,Release
MPLADS/KA/2026-2027/0161,2,124758.9,2026-10-23,Release
MPLADS/KA/2026-2027/0161,3,99904.93,2027-03-19,Release
MPLADS/MA/2025-2026/0162,1,934629.05,2025-09-26,Release
MPLADS/MA/2025-2026/0162,2,880684.67,2025-12-10,Release
MPLADS/MA/2025-2026/0162,3,649129.37,2026-03-26,Release
MPLADS/TA/2025-2026/0163,1,929402.06,2025-06-02,Release
MPLADS/TA/2025-2026/0163,2,1302796.24,2025-08-04,Release
MPLADS/TA/2026-2027/0164,1,1331208.39,2026-02-09,Release
MPLADS/MA/2026-2027/0165,1,321876.76,2026-03-03,Release
MPLADS/MA/2026-2027/0165,2,267335.24,2026-08-16,Release
MPLADS/MA/2026-2027/0165,3,291058.63,2027-01-24,Release
MPLADS/MA/2026-2027/0165,4,420989.92,2027-06-09,Release
MPLADS/KA/2024-2025/0166,1,1317828.2,2024-05-24,Release
MPLADS/KA/2024-2025/0166,2,1745593.05,2024-11-08,Release
MPLADS/KA/2024-2025/0166,3,1891905.02,2025-01-14,Release
MPLADS/KA/2024-2025/0166,4,1525763.06,2025-04-22,Release
MPLADS/MA/2024-2025/0167,1,709612.93,2024-11-15,Release
