unique_work_number,work_name,work_description,work_category,state,implementing_district,nodal_district,constituency,house_name,mp_name,implementing_agency_name,sanction_amount,actual_expenditure,released_amount,recommendation_date,administrative_approval_date,sanction_date,commencement_date,completion_date,work_status,financial_year,image_uploaded
MPLADS/MA/2025-2026/0012,Construction of Roads in Jabalpur,Illo atque velit maxime illo magnam. Accusantium itaque fuga nobis.,Roads,Madhya Pradesh,Jabalpur,Jabalpur,Jabalpur East,Lok Sabha,Unnati Sridhar,Block Development Office,1127416.2,471013.87,628085.3560811657,2025-10-16,2025-10-23,2025-10-26,2025-11-24,,Ongoing,2025-2026,No
MPLADS/MA/2025-2026/0013,Construction of Street Light in Thane,Quos rem consequatur. Deleniti omnis possimus sed distinctio libero eius.,Street Light,Maharashtra,Thane,Thane,Thane East,Rajya Sabha,Vedhika Ram,Gram Panchayat,548392.45,339910.43,428972.4505015835,2025-06-04,2025-07-04,2025-07-08,2025-08-22,,Ongoing,2025-2026,No
MPLADS/UT/2025-2026/0014,Construction of Health Center in Varanasi,Deserunt natus doloribus.,Health Center,Uttar Pradesh,Varanasi,Varanasi,Varanasi East,Lok Sabha,Advik Jhaveri,Block Development Office,200000.0,60772.37,118729.78325842613,2025-10-18,2025-11-14,2025-11-18,2025-12-31,,Ongoing,2025-2026,No
MPLADS/TA/2025-2026/0015,Construction of Library in Chennai,Fugit molestiae excepturi nulla ad exercitationem. Expedita cumque quasi assumenda ullam commodi.,Library,Tamil Nadu,Chennai,Chennai,Chennai East,Rajya Sabha,Ishwar Doshi,Municipal Corporation,592557.52,59540.13,460754.1850684185,2024-11-06,2025-03-15,2025-03-16,2025-04-09,,Ongoing,2025-2026,No
MPLADS/MA/2024-2025/0016,Construction of Health Center in Thane,Incidunt veniam natus dolorum. Repellendus eveniet animi ullam.,Health Center,Maharashtra,Thane,Thane,Thane East,Rajya Sabha,Hamsini Lalla,Block Development Office,1437712.47,539360.63,1185582.8271671962,2024-10-19,2024-10-30,2024-11-04,2024-12-20,,Ongoing,2024-2025,No
MPLADS/UT/2024-2025/0017,Construction of Community Hall in Lucknow,Quibusdam sed fuga delectus qui. Et at animi sit cumque modi. Magnam ipsam ex labore.,Community Hall,Uttar Pradesh,Lucknow,Lucknow,Lucknow East,Lok Sabha,Hritik Mann,Zila Parishad,1284602.66,644200.16,698989.3812093711,2023-12-29,2024-01-20,2024-01-21,2024-03-14,2025-09-18,Completed,2024-2025,Yes
MPLADS/UT/2024-2025/0018,Construction of Street Light in Varanasi,Quas voluptatibus ducimus impedit. Exercitationem autem vel dolor. Provident soluta corporis dolor.,Street Light,Uttar Pradesh,Varanasi,Varanasi,Varanasi East,Lok Sabha,Pavani Saran,Municipal Corporation,562849.47,346756.39,379528.6303164012,2024-09-27,2024-10-14,2024-10-15,2024-11-22,2025-08-30,Completed,2024-2025,Yes
MPLADS/UT/2026-2027/0019,Construction of Park in Lucknow,Corporis quas ratione possimus neque aliquid modi. Ipsa sunt ut quos tenetur occaecati dolore.,Park,Uttar Pradesh,Lucknow,Lucknow,Lucknow East,Rajya Sabha,Gaurang Mittal,Municipal Corporation,436790.37,96097.75,300599.4485246347,2026-07-21,2026-08-26,2026-08-27,2026-09-16,,Ongoing,2026-2027,No
MPLADS/KA/2025-2026/0020,Construction of Park in Mysore,Quos numquam dignissimos animi ratione. Vitae nesciunt eligendi nemo beatae totam maiores commodi.,Park,Karnataka,Mysore,Mysore,Mysore East,Lok Sabha,Guneet Banik,State Housing Board,235078.52,101334.28,161090.67392846802,2025-08-25,2025-09-25,2025-09-29,2025-10-18,,Ongoing,2025-2026,No
MPLADS/MA/2026-2027/0021,Construction of Library in Jabalpur,Repellat facilis sapiente maxime aperiam sint. Nesciunt quaerat saepe.,Library,Madhya Pradesh,Jabalpur,Jabalpur,Jabalpur East,Lok Sabha,Lohit Bal,Zila Parishad,2825954.14,243966.96,2522642.537876955,2026-01-03,2026-04-19,2026-04-24,2026-06-06,,Ongoing,2026-2027,No
MPLADS/UT/2024-2025/0022,Construction of Community Hall in Lucknow,Ad aspernatur expedita. Explicabo saepe reiciendis doloremque excepturi.,Community Hall,Uttar Pradesh,Lucknow,Lucknow,Lucknow East,Lok Sabha,Chandran Lanka,Municipal Corporation,2229068.44,399315.77,1850270.2141174152,2023-12-23,2024-01-09,2024-01-14,2024-02-08,,Ongoing,2024-2025,No
MPLADS/KA/2026-2027/0023,Construction of Library in Hubli,Odio vel et vero est similique repellat. Voluptates repellat explicabo qui.,Library,Karnataka,Hubli,Hubli,Hubli East,Rajya Sabha,Falak Munshi,Zila Parishad,1847269.74,652314.46,1549647.6356021087,2026-09-06,2026-09-19,2026-09-22,2026-10-17,,Ongoing,2026-2027,No
MPLADS/KA/2024-2025/0024,Construction of Community Hall in Mysore,Dicta quaerat enim quos itaque. Neque quaerat libero quibusdam perferendis enim laboriosam.,Community Hall,Karnataka,Mysore,Mysore,Mysore East,Lok Sabha,Sachi Shenoy,Gram Panchayat,2712110.720615052,336258.6,2172579.750962297,2024-03-07,2024-05-18,2024-05-23,2024-06-18,,Ongoing,2024-2025,No
MPLADS/UT/2026-2027/0025,Construction of Drinking Water in Kanpur,Aperiam magnam et odio. Ducimus assumenda tempora. Ut architecto natus possimus.,Drinking Water,Uttar Pradesh,Kanpur,Kanpur,Kanpur East,Lok Sabha,Oliver Srivastava,Gram Panchayat,727808.64,491372.73,496665.47155749705,2026-01-01,2026-01-28,2026-02-02,2026-02-12,2026-10-01,Completed,2026-2027,Yes
MPLADS/MA/2026-2027/0026,Construction of Library in Thane,Earum culpa nobis similique beatae tenetur rem.,Library,Maharashtra,Thane,Thane,Thane East,Lok Sabha,Unni Deol,Zila Parishad,1877645.81,1150726.27,1189423.8259802195,2026-08-30,2026-09-25,2026-09-28,2026-10-21,2027-08-12,Completed,2026-2027,No
MPLADS/KA/2024-2025/0027,Construction of Roads in Mysore,Iusto aliquam nam reprehenderit pariatur. Ipsa impedit laudantium ea quibusdam consequatur.,Roads,Karnataka,Mysore,Mysore,Mysore East,Lok Sabha,Dalaja Nath,State Housing Board,2117967.1762886615,1361425.52,1423972.3374510668,2024-01-04,2024-01-18,2024-01-22,2024-03-07,2025-04-04,Completed,2024-2025,Yes
MPLADS/TA/2025-2026/0028,Construction of Library in Madurai,Asperiores dolores nam ullam. Aliquam ex iste ipsam.,Library,Tamil Nadu,Madurai,Madurai,Madurai East,Lok Sabha,Leela Sachdeva,Municipal Corporation,2062988.61,1873866.57,1942434.2191121224,2025-12-14,2025-12-24,2025-12-25,2026-01-26,,Ongoing,2025-2026,No
MPLADS/TA/2024-2025/0029,Construction of Park in Madurai,"Ratione maiores iste nam quidem.
Nisi maiores aliquid quos at tempora. Assumenda corrupti rerum.",Park,Tamil Nadu,Madurai,Madurai,Madurai East,Rajya Sabha,Zilmil Sem,State Housing Board,559744.52,272546.72,467530.8204974409,2024-04-05,2024-04-17,2024-04-19,2024-05-09,,Delayed,2024-2025,No
MPLADS/MA/2026-2027/0030,Construction of Drainage in Pune,Assumenda officia corrupti.,Drainage,Maharashtra,Pune,Pune,Pune East,Rajya Sabha,Nakul Chandran,Block Development Office,1024983.75,506555.65,721162.9787854686,2026-01-03,2026-02-05,2026-02-07,2026-03-06,,Ongoing,2026-2027,No
MPLADS/MA/2026-2027/0031,Construction of Health Center in Nagpur,Nisi aperiam eaque voluptate. Odit dolores ab corporis pariatur suscipit.,Health Center,Maharashtra,Nagpur,Nagpur,Nagpur East,Rajya Sabha,Gopal Amble,Block Development Office,1398293.39,459264.08,1208066.962672807,2026-08-17,2026-09-05,2026-09-07,2026-10-01,,Ongoing,2026-2027,No
MPLADS/TA/2025-2026/0032,Construction of Drinking Water in Chennai,Distinctio laudantium facilis nostrum quia perferendis sit nulla. Aut non illum ipsam tempore.,Drinking Water,Tamil Nadu,Chennai,Chennai,Chennai East,Rajya Sabha,Raghav Soni,Gram Panchayat,1926139.09,1060178.7,1721480.8652949024,2025-11-06,2025-11-23,2025-11-28,2025-12-29,,Delayed,2025-2026,No
MPLADS/UT/2023-2024/0033,Construction of Drinking Water in Varanasi,"Ex beatae quod ipsam.
Aut quaerat velit consectetur. Porro fugiat minima hic consequuntur.",Drinking Water,Uttar Pradesh,Varanasi,Varanasi,Varanasi East,Lok Sabha,Chaman Vasa,Zila Parishad,3371946.317375933,3063836.21,4790846.629554607,2023-09-23,2023-10-22,2023-10-26,2023-12-13,,Delayed,2023-2024,No
MPLADS/TA/2025-2026/0034,Construction of Park in Chennai,Ducimus tempora doloremque velit sit perspiciatis.,Park,Tamil Nadu,Chennai,Chennai,Chennai East,Rajya Sabha,Dhriti Kunda,Gram Panchayat,1465584.6949246614,367388.08,947995.7060977287,2025-09-18,2025-10-17,2025-10-19,2025-11-21,,Ongoing,2025-2026,No
MPLADS/MA/2026-2027/0035,Construction of Community Hall in Indore,Voluptate placeat cum at sint fugit.,Community Hall,Madhya Pradesh,Indore,Indore,Indore East,Lok Sabha,Vrinda Char,Zila Parishad,3487053.89,1638206.82,2297635.1613105126,2026-08-30,2026-09-21,2026-09-25,2026-10-25,,Ongoing,2026-2027,No
MPLADS/UT/2026-2027/0036,Construction of Park in Kanpur,Voluptas magni sunt nemo ipsam minima magnam. Veniam minima iste harum.,Park,Uttar Pradesh,Kanpur,Kanpur,Kanpur East,Rajya Sabha,Gagan Boase,Municipal Corporation,311662.54,258626.41,282715.3283387789,2026-09-06,2026-10-01,2026-10-05,2026-11-19,2027-03-31,Completed,2026-2027,Yes
MPLADS/KA/2026-2027/0037,Construction of Health Center in Hubli,Iste asperiores fugiat rem magni.,Health Center,Karnataka,Hubli,Hubli,Hubli East,Lok Sabha,Lajita Sant,State Housing Board,2208863.6,1577195.91,1634866.8267700917,2026-01-30,2026-02-11,2026-02-14,2026-03-28,2026-10-30,Completed,2026-2027,Yes
MPLADS/UT/2024-2025/0038,Construction of School Building in Lucknow,Voluptatum cumque impedit fugit odio qui. Modi dolorum facilis consequuntur illum.,School Building,Uttar Pradesh,Lucknow,Lucknow,Lucknow East,Lok Sabha,Arin Minhas,Block Development Office,573452.763223505,306107.18,536936.7253185633,2024-11-26,2024-12-24,2024-12-25,2025-02-02,,Ongoing,2024-2025,No
MPLADS/KA/2025-2026/0039,Construction of Park in Mysore,At consectetur sequi aliquid officiis aliquam. Blanditiis aliquam corporis corporis beatae.,Park,Karnataka,Mysore,Mysore,Mysore East,Rajya Sabha,Warinder Nagar,State Housing Board,268725.58,26820.0,151222.76242982337,2025-05-27,2025-10-19,2025-10-20,2025-12-18,,Ongoing,2025-2026,No
MPLADS/MA/2024-2025/0040,Construction of Health Center in Thane,Vitae expedita mollitia sed laboriosam cumque omnis. Doloribus nemo dolorum praesentium adipisci.,Health Center,Maharashtra,Thane,Thane,Thane East,Rajya Sabha,Panini Sarin,PWD,2196861.24,1151994.57,1318039.2731574785,2024-04-29,2024-05-19,2024-05-23,2024-07-14,,Ongoing,2024-2025,No
MPLADS/KA/2024-2025/0041,Construction of Library in Hubli,Eaque tempora magnam deleniti. Inventore tenetur facilis eius ipsam commodi saepe impedit.,Library,Karnataka,Hubli,Hubli,Hubli East,Rajya Sabha,Nikita Chaudhary,Gram Panchayat,2316926.61,1138453.64,1572964.0213495942,2024-12-03,2024-12-23,2024-12-27,2025-02-03,,Ongoing,2024-2025,No
MPLADS/MA/2026-2027/0042,Construction of Health Center in Indore,Nam adipisci labore non consectetur amet. Tempore iste perspiciatis quo quaerat quos nobis.,Health Center,Madhya Pradesh,Indore,Indore,Indore East,Lok Sabha,Yamini Ranganathan,PWD,2171368.28,308032.96,1245726.2606393106,2026-06-28,2026-07-27,2026-07-30,2026-08-30,,Ongoing,2026-2027,No
MPLADS/UT/2025-2026/0043,Construction of Park in Lucknow,Delectus ea facere veniam voluptas. Voluptate vero earum natus earum incidunt impedit.,Park,Uttar Pradesh,Lucknow,Lucknow,Lucknow East,Rajya Sabha,Reva Saini,State Housing Board,753740.69,94840.64,399295.7145324485,2025-08-26,2025-12-03,2025-12-06,2026-01-19,,Ongoing,2025-2026,No
MPLADS/KA/2024-2025/0044,Construction of Roads in Hubli,Corporis aspernatur earum eaque atque tempore numquam. Aut numquam quas illum libero veritatis.,Roads,Karnataka,Hubli,Hubli,Hubli East,Lok Sabha,Lavanya Sahota,Gram Panchayat,1259117.04,1793245.73,1801166.072192655,2024-12-04,2024-12-23,2024-12-26,2025-01-24,2025-11-09,Completed,2024-2025,Yes
MPLADS/TA/2025-2026/0045,Construction of Street Light in Coimbatore,Laborum eaque earum reiciendis. Inventore optio sint sequi architecto.,Street Light,Tamil Nadu,Coimbatore,Coimbatore,Coimbatore East,Lok Sabha,Falguni Sabharwal,State Housing Board,613743.6802113809,63839.34,341167.60124715854,2025-05-07,2025-06-09,2025-06-11,2025-07-20,,Delayed,2025-2026,No
MPLADS/KA/2024-2025/0046,Construction of Roads in Hubli,Itaque perferendis tempora sed. Dolorum sed libero porro repudiandae.,Roads,Karnataka,Hubli,Hubli,Hubli East,Rajya Sabha,Chandani Singhal,Block Development Office,924124.63,482266.46,697259.9487749815,2024-02-25,2024-03-08,2024-03-10,2024-03-23,,Ongoing,2024-2025,No
MPLADS/TA/2024-2025/0047,Construction of Park in Coimbatore,Possimus doloribus animi rem. Repellendus voluptates nulla repudiandae.,Park,Tamil Nadu,Coimbatore,Coimbatore,Coimbatore East,Lok Sabha,Vedika Varkey,Block Development Office,615744.49,328624.69,345416.5431627753,2024-05-23,2024-06-06,2024-06-10,2024-06-21,2024-10-01,Completed,2024-2025,Yes
MPLADS/MA/2025-2026/0048,Construction of Health Center in Pune,Consequuntur cum sapiente. Odio repellendus atque odio ratione veritatis.,Health Center,Maharashtra,Pune,Pune,Pune East,Rajya Sabha,Peter Manne,PWD,3057122.23,2413232.96,2580548.1200124305,2025-04-29,2025-05-26,2025-05-28,2025-07-07,2026-01-27,Completed,2025-2026,Yes
MPLADS/UT/2025-2026/0049,Construction of Community Hall in Varanasi,Impedit sint fugiat ex neque. Impedit quam voluptatibus totam illo in.,Community Hall,Uttar Pradesh,Varanasi,Varanasi,Varanasi East,Rajya Sabha,Krishna Suri,Municipal Corporation,2912341.95,538705.47,2135261.655740922,2025-07-01,2025-08-05,2025-08-10,2025-08-21,,Delayed,2025-2026,No
MPLADS/KA/2026-2027/0050,Construction of Health Center in Hubli,Dolorem magnam dignissimos. Nulla iusto perferendis cum excepturi accusantium quaerat.,Health Center,Karnataka,Hubli,Hubli,Hubli East,Lok Sabha,Omisha Divan,State Housing Board,236959.84,203399.54,207152.211420769,2026-04-08,2026-05-13,2026-05-14,2026-07-07,2027-03-27,Completed,2026-2027,Yes
MPLADS/KA/2024-2025/0051,Construction of Drainage in Hubli,Ducimus veniam quasi possimus. Fugit impedit iste illum modi aliquid.,Drainage,Karnataka,Hubli,Hubli,Hubli East,Rajya Sabha,Widisha Bawa,State Housing Board,1394450.38,794809.33,915727.8401098046,2024-04-25,2024-08-02,2024-08-06,2024-08-22,,Ongoing,2024-2025,No
MPLADS/UT/2025-2026/0052,Construction of School Building in Kanpur,Sed exercitationem ex. Nemo temporibus sit enim exercitationem quidem.,School Building,Uttar Pradesh,Kanpur,Kanpur,Kanpur East,Rajya Sabha,Anay Jaggi,State Housing Board,2422376.58,464632.48,1543315.296214099,2025-05-14,2025-05-27,2025-06-01,2025-07-30,,Ongoing,2025-2026,No
MPLADS/TA/2026-2027/0053,Construction of Community Hall in Chennai,Rerum tempora provident.,Community Hall,Tamil Nadu,Chennai,Chennai,Chennai East,Lok Sabha,Anvi Murty,Block Development Office,1687693.6,889123.9,942742.6300295561,2026-07-15,2026-07-27,2026-08-01,2026-09-19,2028-02-18,Completed,2026-2027,Yes
MPLADS/TA/2025-2026/0054,Construction of Drinking Water in Coimbatore,Dolorem voluptate libero cupiditate perferendis error officia.,Drinking Water,Tamil Nadu,Coimbatore,Coimbatore,Coimbatore East,Rajya Sabha,Yashvi Mane,State Housing Board,1305838.14,138720.39,1118939.8364958705,2025-02-15,2025-03-24,2025-03-25,2025-05-07,,Delayed,2025-2026,No
MPLADS/KA/2026-2027/0055,Construction of Health Center in Hubli,Doloremque voluptatum nisi sunt repellat deleniti at illum. Totam cum autem quod hic.,Health Center,Karnataka,Hubli,Hubli,Hubli East,Lok Sabha,Prisha Gera,State Housing Board,3030999.52,580643.62,1647125.8228158304,2026-07-07,2026-08-07,2026-08-08,2026-08-23,,Ongoing,2026-2027,No
MPLADS/TA/2026-2027/0056,Construction of Drainage in Madurai,Dolore commodi voluptas accusantium. Quaerat tempora vitae veritatis eligendi dicta.,Drainage,Tamil Nadu,Madurai,Madurai,Madurai East,Rajya Sabha,Jason More,Gram Panchayat,1758768.07,1274875.1,1548837.441798985,2026-01-22,2026-02-07,2026-02-12,2026-03-15,,Ongoing,2026-2027,No
MPLADS/TA/2025-2026/0057,Construction of Community Hall in Chennai,Odit fugiat non nulla iste ex iusto. Iusto cum doloremque repellat voluptate.,Community Hall,Tamil Nadu,Chennai,Chennai,Chennai East,Rajya Sabha,Benjamin Sarna,Zila Parishad,1492938.97,455373.28,1129566.4490745086,2025-04-14,2025-04-25,2025-04-27,2025-05-19,,Ongoing,2025-2026,No
MPLADS/MA/2026-2027/0058,Construction of Drinking Water in Pune,Quo aperiam qui error quos. Perferendis esse expedita illo impedit.,Drinking Water,Maharashtra,Pune,Pune,Pune East,Rajya Sabha,Wakeeta Deep,Municipal Corporation,845393.81,520165.8,793073.1959265788,2026-02-24,2026-06-20,2026-06-22,2026-07-19,,Ongoing,2026-2027,No
MPLADS/UT/2023-2024/0059,Construction of Street Light in Varanasi,Officia atque explicabo voluptatem laudantium. Ea vitae fuga ipsum vitae.,Street Light,Uttar Pradesh,Varanasi,Varanasi,Varanasi East,Rajya Sabha,Janya Koshy,PWD,566252.69,221488.83,341110.27824411466,2023-11-06,2023-11-30,2023-12-04,2024-01-11,,Ongoing,2023-2024,No
MPLADS/KA/2024-2025/0060,Construction of Community Hall in Bangalore,"Perferendis reprehenderit repellat tempore vero modi.
Quidem quod dolor aut.",Community Hall,Karnataka,Bangalore,Bangalore,Bangalore East,Rajya Sabha,Hemang Soni,PWD,3670654.15,1358303.35,2311491.9184845635,2024-07-05,2024-08-01,2024-08-02,2024-08-21,,Ongoing,2024-2025,No
MPLADS/MA/2025-2026/0061,Construction of Community Hall in Pune,Voluptate at eius similique.,Community Hall,Maharashtra,Pune,Pune,Pune East,Rajya Sabha,Udyati Talwar,Block Development Office,1924990.91,1072280.04,1126029.67660929,2025-01-13,2025-02-06,2025-02-11,2025-03-07,2025-08-27,Completed,2025-2026,Yes
MPLADS/MA/2025-2026/0062,Construction of Community Hall in Bhopal,Officia voluptas iusto dolores dolores. Et culpa nam aspernatur aperiam error.,Community Hall,Madhya Pradesh,Bhopal,Bhopal,Bhopal East,Lok Sabha,Karan Agate,Municipal Corporation,2277209.23,329124.01,1285519.6856119207,2025-07-04,2025-08-02,2025-08-03,2025-08-23,,Ongoing,2025-2026,No
MPLADS/MA/2025-2026/0063,Construction of Street Light in Nagpur,Aut libero ducimus libero aperiam quisquam. Iure ab molestias reiciendis deleniti necessitatibus.,Street Light,Maharashtra,Nagpur,Nagpur,Nagpur East,Lok Sabha,Eesha Dar,Block Development Office,278733.01,208777.42,213992.3553330298,2025-03-02,2025-05-24,2025-05-27,2025-07-20,2025-09-22,Completed,2025-2026,Yes
MPLADS/MA/2025-2026/0064,Construction of School Building in Bhopal,Dolorum fugit totam iste aliquid mollitia minima. Exercitationem sit facilis alias facere ullam.,School Building,Madhya Pradesh,Bhopal,Bhopal,Bhopal East,Rajya Sabha,Charles Taneja,Municipal Corporation,1205690.06,718810.57,796049.3724819669,2025-07-12,2025-10-04,2025-10-09,2025-12-05,2026-09-09,Completed,2025-2026,Yes
MPLADS/TA/2025-2026/0065,Construction of Library in Madurai,Amet veritatis dolore dolorem tenetur explicabo. Omnis autem inventore mollitia quam repudiandae.,Library,Tamil Nadu,Madurai,Madurai,Madurai East,Lok Sabha,Ijaya Kata,PWD,2368768.08,2591808.41,2775339.3479154063,2025-08-22,2025-12-02,2025-12-05,2026-01-22,,Ongoing,2025-2026,No
MPLADS/TA/2026-2027/0066,Construction of Roads in Madurai,Id nisi provident corrupti beatae ducimus. Perspiciatis voluptate animi provident officia.,Roads,Tamil Nadu,Madurai,Madurai,Madurai East,Rajya Sabha,Ishwar Mody,Municipal Corporation,2584992.02,1575597.78,2166803.3486034046,2025-12-10,2025-12-31,2026-01-04,2026-01-31,,Ongoing,2026-2027,No
MPLADS/MA/2026-2027/0067,Construction of Drainage in Nagpur,Dolorum occaecati qui voluptas. Exercitationem accusamus dolore aliquid perferendis incidunt.,Drainage,Maharashtra,Nagpur,Nagpur,Nagpur East,Rajya Sabha,Damini Pathak,Zila Parishad,1156793.93,113814.93,999778.4942390368,2026-03-10,2026-04-08,2026-04-10,2026-05-11,,Ongoing,2026-2027,No
MPLADS/MA/2024-2025/0068,Construction of Street Light in Bhopal,Incidunt suscipit ullam quas. Delectus consequatur sed atque doloribus.,Street Light,Madhya Pradesh,Bhopal,Bhopal,Bhopal East,Rajya Sabha,Zashil Swaminathan,Zila Parishad,700706.58,422539.11,445908.68641329417,2024-05-31,2024-06-16,2024-06-20,2024-08-01,2024-09-28,Completed,2024-2025,No
MPLADS/MA/2026-2027/0069,Construction of Street Light in Indore,Soluta assumenda animi. Quo dolores sunt modi at nisi.,Street Light,Madhya Pradesh,Indore,Indore,Indore East,Lok Sabha,Aadhya Ranganathan,PWD,572327.21,182902.67,300518.54816855496,2026-08-09,2026-08-23,2026-08-25,2026-09-22,,Ongoing,2026-2027,No
MPLADS/MA/2025-2026/0070,Construction of Health Center in Thane,Nemo suscipit amet. Tempore magnam exercitationem maiores dolores incidunt quis.,Health Center,Maharashtra,Thane,Thane,Thane East,Rajya Sabha,Gunbir Dixit,Zila Parishad,1354880.25,415376.73,1943946.496235549,2025-07-17,2025-10-26,2025-10-27,2025-11-20,,Delayed,2025-2026,No
MPLADS/MA/2024-2025/0071,Construction of School Building in Thane,Vel libero corrupti id in itaque animi. Explicabo aliquam libero non nulla.,School Building,Maharashtra,Thane,Thane,Thane East,Lok Sabha,Yashasvi Goel,State Housing Board,3542093.41,1678589.63,1861023.5323905298,2024-10-31,2024-11-16,2024-11-19,2024-12-25,2025-11-04,Completed,2024-2025,Yes
MPLADS/MA/2025-2026/0072,Construction of School Building in Jabalpur,In quisquam mollitia. Autem ipsa nisi saepe.,School Building,Madhya Pradesh,Jabalpur,Jabalpur,Jabalpur East,Lok Sabha,Turvi Tandon,Zila Parishad,5307054.85,3061150.54,4224391.799821253,2025-04-07,2025-05-07,2025-05-11,2025-06-11,,Delayed,2025-2026,No
MPLADS/TA/2026-2027/0073,Construction of Drinking Water in Madurai,Asperiores veniam inventore vitae fuga rem. Aspernatur doloribus libero quaerat velit eaque non.,Drinking Water,Tamil Nadu,Madurai,Madurai,Madurai East,Rajya Sabha,Eiravati Johal,Gram Panchayat,982086.98,304777.13,663532.6860354954,2026-06-08,2026-07-07,2026-07-09,2026-08-16,,Ongoing,2026-2027,No
